Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region,Total_discount_impact,Claim_Ratio
47,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2286,0,0,0,0,Agent,10,0,5,1,2,99,704,-50,Suburban,50,0.0,0.0
37,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2336,0,0,0,0,Online,22,0,5,1,2,99,726,-50,Urban,100,0.0,0.0
49,0,Married,86,1-5 years,50,1,0,50,Full Coverage,0,2386,0,0,0,0,Online,28,0,4,4,1,99,772,-50,Urban,100,0.0,0.020955574182732608
62,1,Married,86,>5 years,0,1,0,50,Full Coverage,0,2336,0,0,0,0,Online,4,1,6,2,2,2,809,-50,Urban,100,0.0,0.021404109589041095
36,0,Single,0,>5 years,0,2,0,100,Full Coverage,0,2350,0,0,0,0,Agent,14,1,8,4,2,10,662,50,Suburban,50,0.0,0.0425531914893617
36,0,Married,86,>5 years,0,0,1,0,Liability-Only,-200,1936,0,0,1,50,Online,13,1,4,1,1,7,729,-50,Rural,0,0.025826446280991736,0.0
63,1,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2286,1,0,0,50,Online,2,1,5,1,2,1,795,-50,Urban,100,0.021872265966754154,0.0
51,0,Single,0,<1 year,100,0,0,0,Full Coverage,0,2300,0,1,0,50,Online,1,0,3,0,2,99,639,50,Suburban,50,0.021739130434782608,0.0
32,0,Married,86,>5 years,0,0,0,0,Liability-Only,-200,1936,0,1,0,50,Online,16,1,5,1,3,3,724,-50,Rural,0,0.025826446280991736,0.0
48,0,Single,0,>5 years,0,1,2,200,Full Coverage,0,2350,1,0,0,50,Online,27,0,5,3,2,99,710,-50,Urban,100,0.02127659574468085,0.0851063829787234
33,0,Single,0,>5 years,0,1,0,50,Liability-Only,-200,2050,0,1,0,50,Online,22,1,3,2,1,13,688,50,Suburban,50,0.024390243902439025,0.024390243902439025
33,0,Married,86,<1 year,100,1,0,50,Liability-Only,-200,2236,0,0,0,0,Referral,16,1,3,1,3,6,659,50,Rural,0,0.0,0.022361359570661897
43,0,Single,0,1-5 years,50,1,2,200,Liability-Only,-200,2200,0,1,0,50,Online,29,0,4,1,3,99,745,-50,Urban,100,0.022727272727272728,0.09090909090909091
18,0,Single,0,1-5 years,50,1,0,50,Liability-Only,-200,1950,1,0,1,100,Online,22,1,7,0,3,9,777,-50,Suburban,50,0.05128205128205128,0.02564102564102564
18,0,Married,86,1-5 years,50,1,0,50,Full Coverage,0,2386,1,0,0,50,Online,7,1,3,3,2,8,668,50,Suburban,50,0.020955574182732608,0.020955574182732608
31,0,Married,86,1-5 years,50,0,0,0,Full Coverage,0,2286,0,1,0,50,Online,23,0,3,3,2,99,775,-50,Urban,100,0.021872265966754154,0.0
24,0,Single,0,1-5 years,50,0,0,0,Full Coverage,0,2300,0,0,0,0,Online,8,1,3,2,3,10,695,50,Suburban,50,0.0,0.0
44,0,Widowed,0,1-5 years,50,1,0,50,Full Coverage,0,2250,1,0,0,50,Online,4,1,3,1,3,7,739,-50,Urban,100,0.022222222222222223,0.022222222222222223
26,0,Single,0,<1 year,100,0,0,0,Full Coverage,0,2250,1,0,0,50,Online,14,1,5,2,1,8,750,-50,Urban,100,0.022222222222222223,0.0
